Month,Project Name,Batch,Email,Name,Role,Items,Skipped,Hour,Rate (INR),Amount,Invoice,Accoutn Status
June -2026,PDF,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Himandri Kumar,EC - Submitter,2954,,,0.23,679.42,,Paid on 15.07.2026
June -2026,Hindi Project,New Project Knox - 180,operations-a@biztechanalytics.com,Pranav Sharma,Annotator,7277,,31.5,15,472.50,,Pending for Payment
June -2026,Terminus,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Savithri,EC - Submitter,2785,,,0.56,1559.60,,
June -2026,Roboflow,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajyalakshmi - Intern,QA,857,,,0.2,171.40,,Pending for Payment
May,Short Form Video Project,Batch 6,rohankhanna@biztechanalytics.com,Aman Sharma,EC - Submitter,8442,,,0.6,5065.20,,Pending for Payment
March+ April,Roboflow,Batch 6,operations-a@biztechanalytics.com,Sindhu - Intern,QC,8159,,,0.5,4079.50,,Paid on 17.06.2026
June -2026,Pending - PDF,Batch 6,rohankhanna@biztechanalytics.com,Amir Hamza,QC,4831,,,0.2,966.20,,
June,PDF,Batch 6,not-an-email,Ridhima,Annotator,50,,,0.56,28.00,,
June -2026,Short Form Video Project,Batch 7,operations-a@biztechanalytics.com,Sneha - Intern,Annotator,3986,112,,0.56,2232.16,,Paid on 15.07.2026
May,Terminus,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Atiya,QA,8897,,,0.23,"""2,046.31""",,
June,PDF,Batch 6,,Durgai Sai - Intern,Annotator,100,,,0.56,56.00,,
May,Killi,Batch 7,priyasharma@biztechanalytics.com,Priya Sharma,Annotator,,,73.0,100,7300.00,,
June -2026,PDF,Batch 6,rohankhanna@biztechanalytics.com,Aditya,EC - Submitter,1659,,16.7,35,584.50,,Pending for Payment
March+ April,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Tejbanta,Annotator,1669,,24.2,12,290.40,,
May,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Amir Hamza - Intern,QC,6775,,,0.6,4065.00,,
Pending - May,Pending - PDF,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Dipti,Reviewer,2303,,0.8,30,24.00,,
May,Killi,Batch 7,operations-a@biztechanalytics.com,Durgai Sai Kumar,QA,2634,85,,0.5,1317.00,,Paid on 17.06.2026
Pending - May,Roboflow,Batch 7,rohankhanna@biztechanalytics.com,Nishtha Sharma,QA,1596,,,0.5,798.00,,
May,Short Form Video Project,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Bhavya Kumar,Annotator,2174,,,0.23,500.02,,Paid on 17.06.2026
May,Killi,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Ruchita,QC,8409,,,0.23,1934.07,,
June -2026,Killi,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Sindhu,EC - Submitter,7511,,,0.6,"""4,506.60""",,Paid on 17.06.2026
April,PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Vivek,EC - Submitter,2646,,,0.56,"""1,481.76""",,Paid on 15.07.2026
